frame,time_seconds,left_pocket,left_half_forward,central_corridor,right_half_forward,right_pocket,total_inside_forward50
175,3.5,4,4,5,0,0,13
176,3.52,4,4,5,0,0,13
177,3.54,4,4,5,0,0,13
178,3.56,4,2,5,0,0,11
179,3.58,4,2,5,0,0,11
180,3.6,4,2,5,0,0,11
181,3.62,4,2,5,0,0,11
182,3.64,4,2,5,0,0,11
183,3.66,5,2,5,0,0,12
184,3.68,4,2,5,0,0,11
185,3.7,4,2,5,0,0,11
186,3.72,4,2,5,0,0,11
187,3.74,4,2,5,0,0,11
188,3.76,4,2,5,0,0,11
189,3.78,4,2,4,0,0,10
190,3.8,4,2,4,0,0,10
191,3.82,4,2,5,0,0,11
192,3.84,4,2,5,0,0,11
193,3.86,4,2,5,0,0,11
194,3.88,4,2,5,0,0,11
195,3.9,4,2,5,0,0,11
196,3.92,4,2,5,0,0,11
197,3.94,4,2,5,0,0,11
198,3.96,4,2,4,0,0,10
199,3.98,4,3,3,0,0,10
200,4.0,4,3,4,0,0,11
201,4.02,4,3,4,0,0,11
202,4.04,4,3,3,0,0,10
203,4.06,4,3,3,0,0,10
204,4.08,4,3,4,0,0,11
205,4.1,4,2,3,0,0,9
206,4.12,4,2,3,0,0,9
207,4.14,4,2,3,0,0,9
208,4.16,4,2,3,0,0,9
209,4.18,4,2,3,0,0,9
210,4.2,4,2,3,0,0,9
211,4.22,4,2,4,0,0,10
212,4.24,4,2,4,0,0,10
213,4.26,4,2,4,0,0,10
214,4.28,4,2,5,0,0,11
215,4.3,4,2,4,0,0,10
216,4.32,4,2,4,0,0,10
217,4.34,4,2,4,0,0,10
218,4.36,4,3,5,0,0,12
219,4.38,4,2,6,0,0,12
220,4.4,4,2,6,0,0,12
221,4.42,4,2,6,0,0,12
222,4.44,4,2,6,0,0,12
223,4.46,4,2,6,0,0,12
224,4.48,4,2,6,0,0,12
225,4.5,4,2,6,0,0,12
226,4.52,4,2,6,0,0,12
227,4.54,4,1,5,0,0,10
228,4.56,4,1,5,0,0,10
229,4.58,4,1,5,0,0,10
230,4.6,4,1,5,0,0,10
231,4.62,4,1,5,0,0,10
232,4.64,4,1,5,0,0,10
233,4.66,4,1,5,0,0,10
234,4.68,4,1,5,0,0,10
235,4.7,4,1,5,0,0,10
236,4.72,4,1,5,0,0,10
237,4.74,4,1,5,0,0,10
238,4.76,4,1,5,0,0,10
239,4.78,4,1,5,0,0,10
240,4.8,4,1,5,0,0,10
241,4.82,4,2,4,0,0,10
242,4.84,4,2,4,0,0,10
243,4.86,4,2,4,0,0,10
244,4.88,4,2,4,0,0,10
245,4.9,4,2,4,0,0,10
246,4.92,4,2,5,0,0,11
247,4.94,4,2,4,0,0,10
248,4.96,4,2,5,0,0,11
249,4.98,4,2,5,0,0,11
250,5.0,4,2,5,0,0,11
251,5.02,4,2,6,0,0,12
252,5.04,4,2,6,0,0,12
253,5.06,4,2,5,0,0,11
254,5.08,4,2,7,0,0,13
255,5.1,4,2,7,0,0,13
256,5.12,4,2,5,0,0,11
257,5.14,4,2,7,0,0,13
258,5.16,4,2,7,0,0,13
259,5.18,4,2,9,0,0,15
260,5.2,4,2,9,0,0,15
261,5.22,4,2,8,0,0,14
262,5.24,4,2,8,0,0,14
263,5.26,4,2,7,0,0,13
264,5.28,4,2,7,0,0,13
265,5.3,4,2,6,0,0,12
266,5.32,4,2,6,0,0,12
267,5.34,4,2,5,0,0,11
268,5.36,5,3,5,0,0,13
269,5.38,5,3,5,0,0,13
270,5.4,4,3,6,0,0,13
271,5.42,4,3,6,1,0,14
272,5.44,4,3,6,1,0,14
273,5.46,4,3,6,1,0,14
274,5.48,4,3,6,1,0,14
275,5.5,4,3,7,1,0,15
276,5.52,4,3,7,1,0,15
277,5.54,4,3,7,1,0,15
278,5.56,4,3,7,1,0,15
279,5.58,4,3,7,1,0,15
280,5.6,4,2,7,1,0,14
281,5.62,4,2,6,0,0,12
282,5.64,4,4,6,0,0,14
283,5.66,4,3,6,0,0,13
284,5.68,4,4,6,0,0,14
285,5.7,4,4,6,0,0,14
286,5.72,4,3,6,0,0,13
287,5.74,4,4,6,0,0,14
288,5.76,5,4,6,0,0,15
289,5.78,4,4,5,0,0,13
290,5.8,4,4,5,0,0,13
291,5.82,4,4,5,0,0,13
292,5.84,5,4,5,0,0,14
293,5.86,4,4,5,0,0,13
294,5.88,4,4,5,0,0,13
295,5.9,4,4,5,0,0,13
296,5.92,5,4,6,0,0,15
297,5.94,5,4,5,0,0,14
298,5.96,4,4,7,0,0,15
299,5.98,4,4,7,0,0,15
